periodo,fecha,anio,mes,mes_nombre,periodo_etiqueta,trimestre,hito
2015-01,2015-01-31,2015,1,Ene,Ene 2015,T1,
2015-02,2015-02-28,2015,2,Feb,Feb 2015,T1,
2015-03,2015-03-31,2015,3,Mar,Mar 2015,T1,
2015-04,2015-04-30,2015,4,Abr,Abr 2015,T2,
2015-05,2015-05-31,2015,5,May,May 2015,T2,
2015-06,2015-06-30,2015,6,Jun,Jun 2015,T2,
2015-07,2015-07-31,2015,7,Jul,Jul 2015,T3,
2015-08,2015-08-31,2015,8,Ago,Ago 2015,T3,
2015-09,2015-09-30,2015,9,Set,Set 2015,T3,
2015-10,2015-10-31,2015,10,Oct,Oct 2015,T4,
2015-11,2015-11-30,2015,11,Nov,Nov 2015,T4,
2015-12,2015-12-31,2015,12,Dic,Dic 2015,T4,
2016-01,2016-01-31,2016,1,Ene,Ene 2016,T1,
2016-02,2016-02-29,2016,2,Feb,Feb 2016,T1,
2016-03,2016-03-31,2016,3,Mar,Mar 2016,T1,
2016-04,2016-04-30,2016,4,Abr,Abr 2016,T2,
2016-05,2016-05-31,2016,5,May,May 2016,T2,
2016-06,2016-06-30,2016,6,Jun,Jun 2016,T2,
2016-07,2016-07-31,2016,7,Jul,Jul 2016,T3,
2016-08,2016-08-31,2016,8,Ago,Ago 2016,T3,
2016-09,2016-09-30,2016,9,Set,Set 2016,T3,
2016-10,2016-10-31,2016,10,Oct,Oct 2016,T4,
2016-11,2016-11-30,2016,11,Nov,Nov 2016,T4,
2016-12,2016-12-31,2016,12,Dic,Dic 2016,T4,
2017-01,2017-01-31,2017,1,Ene,Ene 2017,T1,
2017-02,2017-02-28,2017,2,Feb,Feb 2017,T1,
2017-03,2017-03-31,2017,3,Mar,Mar 2017,T1,
2017-04,2017-04-30,2017,4,Abr,Abr 2017,T2,
2017-05,2017-05-31,2017,5,May,May 2017,T2,
2017-06,2017-06-30,2017,6,Jun,Jun 2017,T2,
2017-07,2017-07-31,2017,7,Jul,Jul 2017,T3,
2017-08,2017-08-31,2017,8,Ago,Ago 2017,T3,
