fecha,tasa_referencia,inflacion_12m,tipo_cambio,pbi_indice,pbi_var_12m
2015-01-31,3.250000,3.073263,3.005525,138.204498,
2015-02-28,3.250000,2.768585,3.078525,137.477202,
2015-03-31,3.250000,3.020199,3.091682,148.346993,
2015-04-30,3.250000,3.017413,3.119953,152.057063,
2015-05-31,3.250000,3.366202,3.150450,150.170962,
2015-06-30,3.250000,3.544910,3.161238,150.586504,
2015-07-31,3.250000,3.562925,3.181250,153.258351,
2015-08-31,3.250000,4.042673,3.238357,149.484691,
2015-09-30,3.500000,3.904555,3.218614,152.000861,
2015-10-31,3.500000,3.660205,3.248375,155.730683,
2015-11-30,3.500000,4.172567,3.336643,153.424812,
2015-12-31,3.750000,4.397929,3.382667,170.392438,
2016-01-31,4.000000,4.608688,3.437325,143.098357,3.541027
2016-02-29,4.250000,4.473757,3.505905,146.309197,6.424334
2016-03-31,4.250000,4.301081,3.407381,153.612432,3.549407
2016-04-30,4.250000,3.907213,3.301548,156.263690,2.766479
2016-05-31,4.250000,3.540618,3.333727,157.489549,4.873504
2016-06-30,4.250000,3.341619,3.316571,155.975301,3.578539
2016-07-31,4.250000,2.961959,3.298737,158.745902,3.580588
2016-08-31,4.250000,2.942531,3.333045,158.115556,5.773745
2016-09-30,4.250000,3.126671,3.382295,158.854565,4.508990
2016-10-31,4.250000,3.405288,3.385952,159.126757,2.180736
2016-11-30,4.250000,3.349632,3.402895,158.822599,3.518197
2016-12-31,4.250000,3.234882,3.395357,176.321093,3.479412
2017-01-31,4.250000,3.096364,3.340000,150.276433,5.016183
2017-02-28,4.250000,3.249793,3.259825,147.461286,0.787434
2017-03-31,4.250000,3.974854,3.263739,155.400167,1.163796
2017-04-30,4.250000,3.694716,3.247361,156.751508,0.312176
2017-05-31,4.000000,3.039803,3.272864,163.251278,3.658483
2017-06-30,4.000000,2.732444,3.267800,162.167775,3.970163
2017-07-31,3.750000,2.852069,3.248921,162.286310,2.230236
2017-08-31,3.750000,3.173810,3.241432,162.638412,2.860475
2017-09-30,3.500000,2.944995,3.246167,164.181090,3.353083
2017-10-31,3.500000,2.040143,3.251045,164.870807,3.609732
2017-11-30,3.250000,1.544338,3.240524,162.050069,2.032123
2017-12-31,3.250000,1.364856,3.246184,178.822861,1.418870
2018-01-31,3.000000,1.253188,3.215167,154.592875,2.872335
2018-02-28,3.000000,1.179561,3.248375,151.463758,2.714253
2018-03-31,2.750000,0.363136,3.251900,161.431968,3.881463
2018-04-30,2.750000,0.484870,3.230625,169.423666,8.084233
2018-05-31,2.750000,0.930693,3.273614,174.200964,6.707259
2018-06-30,2.750000,1.429334,3.270950,165.527593,2.071816
2018-07-31,2.750000,1.616101,3.276595,166.517234,2.607074
2018-08-31,2.750000,1.070575,3.288071,166.411983,2.320221
2018-09-30,2.750000,1.280281,3.311325,168.105435,2.390254
2018-10-31,2.750000,1.840894,3.333909,171.604534,4.084245
2018-11-30,2.750000,2.167097,3.374675,170.249556,5.059848
2018-12-31,2.750000,2.192523,3.364026,187.243183,4.708750
2019-01-31,2.750000,2.129158,3.343864,157.193198,1.682045
2019-02-28,2.750000,2.003385,3.321475,154.617113,2.081921
2019-03-31,2.750000,2.247441,3.304690,166.897500,3.385657
2019-04-30,2.750000,2.592645,3.303825,169.417386,-0.003707
2019-05-31,2.750000,2.725128,3.332364,175.401831,0.689357
2019-06-30,2.750000,2.294781,3.325650,170.192831,2.818405
2019-07-31,2.750000,2.111913,3.290214,173.061735,3.930225
2019-08-31,2.500000,2.039723,3.377560,172.594321,3.715080
2019-09-30,2.500000,1.851007,3.357357,172.360592,2.531243
2019-10-31,2.500000,1.880562,3.359762,176.250971,2.707642
2019-11-30,2.250000,1.866797,3.371700,174.183397,2.310632
2019-12-31,2.250000,1.900092,3.355190,189.566260,1.240674
2020-01-31,2.250000,1.888356,3.327364,162.385738,3.303286
2020-02-29,2.250000,1.904038,3.390350,161.698428,4.579904
2020-03-31,1.250000,1.821533,3.491364,137.513515,-17.606007
2020-04-30,0.250000,1.724490,3.397500,102.875344,-39.276986
2020-05-31,0.250000,1.781920,3.421150,117.997641,-32.727247
2020-06-30,0.250000,1.598732,3.470167,139.382065,-18.103446
2020-07-31,0.250000,1.861696,3.516568,153.991673,-11.019225
2020-08-31,0.250000,1.687398,3.563929,156.775164,-9.165515
2020-09-30,0.250000,1.819554,3.554909,162.247835,-5.867209
2020-10-31,0.250000,1.724000,3.595614,170.514293,-3.254834
2020-11-30,0.250000,2.142210,3.607762,170.513325,-2.107016
2020-12-31,0.250000,1.973232,3.602619,191.519405,1.030323
2021-01-31,0.250000,2.675545,3.624575,160.766198,-0.997341
