fecha,entidad_id,mora_120d,mora_30d,mora_60d,mora_90d,morosidad_contable
2015-01-31,ALFIN,3.893616,19.276817,12.880782,7.832958,10.150000
2015-01-31,BANCOM,2.483929,6.657995,5.016258,3.646453,6.520000
2015-01-31,BBVA,1.904586,3.490146,2.505345,2.111457,2.430000
2015-01-31,BCP,1.527667,2.655233,2.070217,1.760452,2.370000
2015-01-31,BIF,0.901236,2.059398,1.416504,1.236253,1.630000
2015-01-31,CENCOSUD,0.277667,7.739006,4.969440,2.199175,3.790000
2015-01-31,CITIBANK,1.882673,2.836278,2.439093,2.159645,2.250000
2015-01-31,FALABELLA,2.685396,5.452356,4.095153,3.321968,3.670000
2015-01-31,GNB,1.396693,2.874158,2.009377,1.704207,1.870000
2015-01-31,INTERBANK,1.567029,3.378779,2.308574,1.930027,2.500000
2015-01-31,MIBANCO,4.269779,7.535216,6.124795,4.982529,7.190000
2015-01-31,PICHINCHA,2.448952,3.536741,2.971463,2.714671,3.620000
2015-01-31,RIPLEY,1.124437,2.455519,1.884832,1.449334,3.490000
2015-01-31,SANTANDER,0.212380,0.258123,0.219070,0.214068,0.430000
2015-01-31,SCOTIABANK,1.832374,2.519659,2.239586,2.066460,2.560000
2015-02-28,ALFIN,3.452319,18.943857,12.153896,7.203918,9.560000
2015-02-28,BANCOM,3.184712,5.933337,5.496020,4.283083,6.010000
2015-02-28,BBVA,1.977349,3.384967,2.529013,2.141530,2.450000
2015-02-28,BCP,1.473080,2.569926,2.040516,1.706688,2.340000
2015-02-28,BIF,0.887110,2.008730,1.443999,1.222812,1.620000
2015-02-28,CENCOSUD,0.345764,8.498767,5.138496,2.813953,3.950000
2015-02-28,CITIBANK,1.802613,2.709235,2.289620,2.007973,2.110000
2015-02-28,FALABELLA,2.647914,5.463329,3.931872,3.167143,3.550000
2015-02-28,GNB,1.476361,3.593985,2.506462,1.827329,2.100000
2015-02-28,INTERBANK,1.582535,3.307896,2.510579,1.941801,2.540000
2015-02-28,MIBANCO,3.979712,7.128949,5.794259,4.786586,7.060000
2015-02-28,PICHINCHA,2.435093,3.955605,3.197800,2.723073,3.930000
2015-02-28,RIPLEY,0.695190,2.029639,1.362591,0.983966,3.390000
2015-02-28,SANTANDER,0.214984,0.247369,0.225375,0.220570,0.500000
2015-02-28,SCOTIABANK,1.842612,2.594417,2.278268,2.080415,2.610000
2015-03-31,ALFIN,3.659224,20.236487,12.958812,7.454940,9.940000
2015-03-31,BANCOM,3.845140,6.177631,5.337270,4.903945,5.820000
2015-03-31,BBVA,1.857297,3.280964,2.448138,2.060541,2.310000
2015-03-31,BCP,1.447349,2.611136,2.023782,1.689185,2.310000
2015-03-31,BIF,1.013509,2.090581,1.660410,1.443121,1.620000
2015-03-31,CENCOSUD,0.346121,8.358659,5.026507,2.367599,3.640000
2015-03-31,CITIBANK,1.683461,2.523141,2.172649,1.908668,1.990000
2015-03-31,FALABELLA,2.770774,6.188244,4.214909,3.401984,3.900000
2015-03-31,GNB,1.418952,3.449373,2.386950,1.809906,2.090000
2015-03-31,INTERBANK,1.594047,3.124065,2.406965,2.073833,2.280000
2015-03-31,MIBANCO,3.474150,6.176187,4.933843,4.119400,6.060000
2015-03-31,PICHINCHA,2.385608,3.719094,3.179813,2.862477,3.630000
2015-03-31,RIPLEY,1.818127,6.280811,4.044646,2.736179,3.400000
2015-03-31,SANTANDER,0.419575,0.434225,0.431176,0.423607,0.430000
2015-03-31,SCOTIABANK,1.859734,2.649699,2.331757,2.128338,2.640000
2015-04-30,ALFIN,3.551691,21.290517,13.650704,7.870934,10.490000
2015-04-30,BANCOM,4.680486,6.320098,5.524761,5.053477,6.000000
2015-04-30,BBVA,1.944773,3.566004,2.534452,2.096975,2.410000
2015-04-30,BCP,1.459053,2.640890,2.061781,1.718100,2.320000
2015-04-30,BIF,1.297525,2.217880,1.741861,1.514114,1.700000
2015-04-30,CENCOSUD,1.890955,9.866255,6.837157,4.215973,5.450000
2015-04-30,CITIBANK,1.676792,2.505151,2.163700,1.906288,2.000000
2015-04-30,FALABELLA,2.495605,6.042404,4.344690,3.160263,3.690000
2015-04-30,GNB,1.483198,3.291736,2.384607,1.905846,2.170000
2015-04-30,INTERBANK,1.708834,3.129743,2.482626,2.068117,2.290000
2015-04-30,MIBANCO,3.560233,6.442371,5.074640,4.212922,6.290000
2015-04-30,PICHINCHA,2.658216,3.871944,3.364288,2.931627,3.710000
