fecha,metrica,tipo_credito,valor
2015-01-31,deudores,consumo,3256567.000000
2015-01-31,morosidad_publicada,consumo,3.458582
2015-01-31,deudores,corporativo,621.000000
2015-01-31,morosidad_publicada,corporativo,0.002124
2015-01-31,deudores,grandes_empresas,2524.000000
2015-01-31,morosidad_publicada,grandes_empresas,0.828243
2015-01-31,deudores,hipotecario,200265.000000
2015-01-31,morosidad_publicada,hipotecario,1.444445
2015-01-31,deudores,medianas_empresas,27625.000000
2015-01-31,morosidad_publicada,medianas_empresas,5.212448
2015-01-31,deudores,microempresas,242256.000000
2015-01-31,morosidad_publicada,microempresas,4.122125
2015-01-31,deudores,pequenas_empresas,187340.000000
2015-01-31,morosidad_publicada,pequenas_empresas,9.541886
2015-01-31,deudores,total,3689161.000000
2015-01-31,mora_120d,total,1.736548
2015-01-31,mora_30d,total,3.102787
2015-01-31,mora_60d,total,2.370808
2015-01-31,mora_90d,total,2.017608
2015-01-31,morosidad_contable,total,2.580000
2015-01-31,morosidad_publicada,total,2.577390
2015-02-28,deudores,consumo,3251947.000000
2015-02-28,morosidad_publicada,consumo,3.329739
2015-02-28,deudores,corporativo,635.000000
2015-02-28,morosidad_publicada,corporativo,0.056683
2015-02-28,deudores,grandes_empresas,2549.000000
2015-02-28,morosidad_publicada,grandes_empresas,0.858779
2015-02-28,deudores,hipotecario,200873.000000
2015-02-28,morosidad_publicada,hipotecario,1.443382
2015-02-28,deudores,medianas_empresas,27876.000000
2015-02-28,morosidad_publicada,medianas_empresas,5.258398
2015-02-28,deudores,microempresas,241563.000000
2015-02-28,morosidad_publicada,microempresas,4.378028
2015-02-28,deudores,pequenas_empresas,185691.000000
2015-02-28,morosidad_publicada,pequenas_empresas,9.570984
2015-02-28,deudores,total,3684622.000000
2015-02-28,mora_120d,total,1.728797
2015-02-28,mora_30d,total,3.056653
2015-02-28,mora_60d,total,2.393744
2015-02-28,mora_90d,total,2.000228
2015-02-28,morosidad_contable,total,2.580000
2015-02-28,morosidad_publicada,total,2.580193
2015-03-31,deudores,consumo,3399796.000000
2015-03-31,morosidad_publicada,consumo,3.266135
2015-03-31,deudores,corporativo,659.000000
2015-03-31,morosidad_publicada,corporativo,0.021450
2015-03-31,deudores,grandes_empresas,2501.000000
2015-03-31,morosidad_publicada,grandes_empresas,0.790040
2015-03-31,deudores,hipotecario,201765.000000
2015-03-31,morosidad_publicada,hipotecario,1.493978
2015-03-31,deudores,medianas_empresas,27882.000000
2015-03-31,morosidad_publicada,medianas_empresas,4.989076
2015-03-31,deudores,microempresas,616288.000000
2015-03-31,morosidad_publicada,microempresas,4.172052
2015-03-31,deudores,pequenas_empresas,228398.000000
2015-03-31,morosidad_publicada,pequenas_empresas,9.277381
2015-03-31,deudores,total,4200944.000000
2015-03-31,mora_120d,total,1.730427
2015-03-31,mora_30d,total,3.099603
2015-03-31,mora_60d,total,2.416631
2015-03-31,mora_90d,total,2.047832
2015-03-31,morosidad_contable,total,2.540000
2015-03-31,morosidad_publicada,total,2.544152
2015-04-30,deudores,consumo,3404713.000000
2015-04-30,morosidad_publicada,consumo,3.354377
2015-04-30,deudores,corporativo,667.000000
2015-04-30,morosidad_publicada,corporativo,0.017451
2015-04-30,deudores,grandes_empresas,2502.000000
2015-04-30,morosidad_publicada,grandes_empresas,0.873361
2015-04-30,deudores,hipotecario,202203.000000
2015-04-30,morosidad_publicada,hipotecario,1.510902
2015-04-30,deudores,medianas_empresas,28042.000000
2015-04-30,morosidad_publicada,medianas_empresas,5.139476
2015-04-30,deudores,microempresas,613505.000000
2015-04-30,morosidad_publicada,microempresas,4.208582
2015-04-30,deudores,pequenas_empresas,228373.000000
2015-04-30,morosidad_publicada,pequenas_empresas,9.660368
2015-04-30,deudores,total,4204531.000000
2015-04-30,mora_120d,total,1.796127
2015-04-30,mora_30d,total,3.196129
2015-04-30,mora_60d,total,2.486007
2015-04-30,mora_90d,total,2.078859
2015-04-30,morosidad_contable,total,2.600000
2015-04-30,morosidad_publicada,total,2.596265
2015-05-31,deudores,consumo,3411114.000000
2015-05-31,morosidad_publicada,consumo,3.553505
2015-05-31,deudores,corporativo,659.000000
2015-05-31,morosidad_publicada,corporativo,0.008896
2015-05-31,deudores,grandes_empresas,2583.000000
2015-05-31,morosidad_publicada,grandes_empresas,0.848744
2015-05-31,deudores,hipotecario,202835.000000
2015-05-31,morosidad_publicada,hipotecario,1.551083
2015-05-31,deudores,medianas_empresas,27849.000000
2015-05-31,morosidad_publicada,medianas_empresas,5.281510
2015-05-31,deudores,microempresas,610563.000000
2015-05-31,morosidad_publicada,microempresas,4.277879
2015-05-31,deudores,pequenas_empresas,228498.000000
2015-05-31,morosidad_publicada,pequenas_empresas,9.906956
2015-05-31,deudores,total,4210191.000000
2015-05-31,mora_120d,total,1.833892
2015-05-31,mora_30d,total,3.201211
2015-05-31,mora_60d,total,2.531953
2015-05-31,mora_90d,total,2.142056
2015-05-31,morosidad_contable,total,2.670000
2015-05-31,morosidad_publicada,total,2.666058
2015-06-30,deudores,consumo,3411488.000000
2015-06-30,morosidad_publicada,consumo,3.538392
2015-06-30,deudores,corporativo,693.000000
2015-06-30,morosidad_publicada,corporativo,0.009816
2015-06-30,deudores,grandes_empresas,2610.000000
2015-06-30,morosidad_publicada,grandes_empresas,0.859994
2015-06-30,deudores,hipotecario,202875.000000
2015-06-30,morosidad_publicada,hipotecario,1.584289
2015-06-30,deudores,medianas_empresas,28004.000000
2015-06-30,morosidad_publicada,medianas_empresas,5.402141
2015-06-30,deudores,microempresas,607744.000000
2015-06-30,morosidad_publicada,microempresas,4.184837
2015-06-30,deudores,pequenas_empresas,227893.000000
2015-06-30,morosidad_publicada,pequenas_empresas,9.859260
2015-06-30,deudores,total,4208644.000000
2015-06-30,mora_120d,total,1.849338
2015-06-30,mora_30d,total,3.216021
2015-06-30,mora_60d,total,2.598658
2015-06-30,mora_90d,total,2.154523
2015-06-30,morosidad_contable,total,2.690000
2015-06-30,morosidad_publicada,total,2.685957
2015-07-31,deudores,consumo,3404728.000000
2015-07-31,morosidad_publicada,consumo,3.472844
2015-07-31,deudores,corporativo,666.000000
2015-07-31,morosidad_publicada,corporativo,0.012064
2015-07-31,deudores,grandes_empresas,2726.000000
2015-07-31,morosidad_publicada,grandes_empresas,0.901377
2015-07-31,deudores,hipotecario,203327.000000
2015-07-31,morosidad_publicada,hipotecario,1.608464
2015-07-31,deudores,medianas_empresas,28015.000000
2015-07-31,morosidad_publicada,medianas_empresas,5.763516
2015-07-31,deudores,microempresas,603306.000000
2015-07-31,morosidad_publicada,microempresas,4.023429
2015-07-31,deudores,pequenas_empresas,227643.000000
2015-07-31,morosidad_publicada,pequenas_empresas,10.068396
2015-07-31,deudores,total,4198381.000000
2015-07-31,mora_120d,total,1.868847
2015-07-31,mora_30d,total,3.248736
2015-07-31,mora_60d,total,2.567215
2015-07-31,mora_90d,total,2.188662
2015-07-31,morosidad_contable,total,2.730000
2015-07-31,morosidad_publicada,total,2.726579
2015-08-31,deudores,consumo,3391957.000000
2015-08-31,morosidad_publicada,consumo,3.458023
2015-08-31,deudores,corporativo,686.000000
2015-08-31,morosidad_publicada,corporativo,0.000319
2015-08-31,deudores,grandes_empresas,2717.000000
2015-08-31,morosidad_publicada,grandes_empresas,1.060594
2015-08-31,deudores,hipotecario,203958.000000
2015-08-31,morosidad_publicada,hipotecario,1.652507
2015-08-31,deudores,medianas_empresas,27870.000000
2015-08-31,morosidad_publicada,medianas_empresas,5.443379
2015-08-31,deudores,microempresas,602846.000000
2015-08-31,morosidad_publicada,microempresas,3.931928
2015-08-31,deudores,pequenas_empresas,227698.000000
2015-08-31,morosidad_publicada,pequenas_empresas,10.034938
2015-08-31,deudores,total,4187336.000000
2015-08-31,mora_120d,total,1.896924
2015-08-31,mora_30d,total,3.257875
2015-08-31,mora_60d,total,2.614815
2015-08-31,mora_90d,total,2.184512
