fuente,cuadro,periodo,url,archivo,estado,formato,bytes,sha256,descargado_en
BCRP,PD04722MM,2015-1..2026-7,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PD04722MM/json/2015-1/2026-7,data/raw/bcrp/PD04722MM.json,ok,json,5988,57a2125e7e1bc811db645da9e5a5acd83d1db96fb2c35777ba4b0bb4c8c0c434,2026-09-22T23:14:03Z
BCRP,PN01210PM,2015-1..2026-7,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01210PM/json/2015-1/2026-7,data/raw/bcrp/PN01210PM.json,ok,json,7288,38f47e896fb8ac48082f4db688696382c41fac16473d95eaff782d2b464b7af8,2026-09-22T23:14:03Z
BCRP,PN01273PM,2015-1..2026-7,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2015-1/2026-7,data/raw/bcrp/PN01273PM.json,ok,json,7688,fed15394bea055fc44dfdb849a1330030f8b22b37f9dcc9d97600b5c38239634,2026-09-22T23:14:03Z
BCRP,PN01770AM,2015-1..2026-7,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01770AM/json/2015-1/2026-7,data/raw/bcrp/PN01770AM.json,ok,json,7698,e7fcf4d2f7e44d05c68dbd4b9500852a8b5ecc64399a0b88a054d817973251c5,2026-09-22T23:14:03Z
SBS,B-220512,2015-01,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Enero/B-220512-en2015.XLS,data/raw/sbs/B-220512/B-220512_2015-01.xls,ok,xlsx,20534,d62916d170df049fc307420b39cd4faf4913354f9a53f95f2c93bbb651f44e96,2026-09-22T23:12:57Z
SBS,B-220512,2015-02,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Febrero/B-220512-fe2015.XLS,data/raw/sbs/B-220512/B-220512_2015-02.xls,ok,xlsx,20532,25dede752a015a6dc21da8622323451c79dcf7ea856d1b0806c355d858dc802f,2026-09-22T23:12:57Z
SBS,B-220512,2015-03,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Marzo/B-220512-ma2015.XLS,data/raw/sbs/B-220512/B-220512_2015-03.xls,ok,xlsx,20514,863df270c1247382b14e0b601b061e8011f2697a7f1e59c3c887eaaab0a240b9,2026-09-22T23:12:57Z
SBS,B-220512,2015-04,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Abril/B-220512-ab2015.XLS,data/raw/sbs/B-220512/B-220512_2015-04.xls,ok,xlsx,20445,bfca1b7493ea4061cb8a911986d0fc35a52fdbb1d6254c09fb0d6ab7977449d9,2026-09-22T23:12:57Z
SBS,B-220512,2015-05,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Mayo/B-220512-my2015.XLS,data/raw/sbs/B-220512/B-220512_2015-05.xls,ok,xlsx,21557,051d60b899b4be65ccb221ea7b4886f5dcfb800d9e4d7303f9d2911ff28803b0,2026-09-22T23:12:58Z
SBS,B-220512,2015-06,https://intranet2.sbs.gob.pe/estadistica/financiera/2015/Junio/B-220512-jn2015.XLS,data/raw/sbs/B-220512/B-220512_2015-06.xls,ok,xlsx,21564,c36b322079922ca56b798be655954fe780a556ff93f5695ce90e41e65371eee0,2026-09-22T23:12:58Z
