fecha,morosidad,morosidad_sin_nuevos,efecto_pp
2015-01-31,2.5774,2.5774,0.0000
2015-02-28,2.5802,2.5802,0.0000
2015-03-31,2.5442,2.5442,0.0000
2015-04-30,2.5963,2.5963,0.0000
2015-05-31,2.6661,2.6661,0.0000
2015-06-30,2.6860,2.6860,0.0000
2015-07-31,2.7266,2.7266,0.0000
2015-08-31,2.6950,2.6950,0.0000
2015-09-30,2.5805,2.5805,0.0000
2015-10-31,2.6516,2.6516,0.0000
2015-11-30,2.6177,2.6177,0.0000
2015-12-31,2.5391,2.5391,0.0000
2016-01-31,2.6429,2.6429,0.0000
2016-02-29,2.7099,2.7099,0.0000
2016-03-31,2.7017,2.7017,0.0000
2016-04-30,2.7655,2.7655,0.0000
2016-05-31,2.8623,2.8623,0.0000
2016-06-30,2.8655,2.8655,0.0000
2016-07-31,2.8452,2.8452,0.0000
2016-08-31,2.9130,2.9130,0.0000
2016-09-30,2.8563,2.8563,0.0000
2016-10-31,2.9479,2.9479,0.0000
2016-11-30,2.9634,2.9634,0.0000
2016-12-31,2.7963,2.7963,0.0000
2017-01-31,2.9564,2.9564,0.0000
2017-02-28,2.9834,2.9834,0.0000
2017-03-31,3.0055,3.0055,0.0000
2017-04-30,3.0589,3.0589,0.0000
2017-05-31,3.1466,3.1466,0.0000
2017-06-30,3.0891,3.0891,0.0000
2017-07-31,3.1153,3.1153,0.0000
2017-08-31,3.1119,3.1119,0.0000
2017-09-30,3.0805,3.0805,0.0000
2017-10-31,3.1383,3.1383,0.0000
2017-11-30,3.1211,3.1211,0.0000
2017-12-31,3.0403,3.0403,0.0000
2018-01-31,3.1248,3.1248,0.0000
2018-02-28,3.2410,3.2410,0.0000
2018-03-31,3.0701,3.0701,0.0000
2018-04-30,3.1084,3.1084,0.0000
2018-05-31,3.1391,3.1391,0.0000
2018-06-30,3.1042,3.1042,0.0000
2018-07-31,3.1834,3.1834,0.0000
2018-08-31,3.2258,3.2258,0.0000
2018-09-30,3.0694,3.0694,0.0000
2018-10-31,3.0974,3.0974,0.0000
2018-11-30,3.0741,3.0741,0.0000
2018-12-31,2.9508,2.9508,0.0000
2019-01-31,3.0395,3.0395,0.0000
2019-02-28,3.0474,3.0474,0.0000
2019-03-31,2.9917,2.9917,0.0000
2019-04-30,3.0504,3.0504,0.0000
2019-05-31,3.1069,3.1069,0.0000
2019-06-30,3.0836,3.0836,0.0000
2019-07-31,3.1251,3.1251,0.0000
2019-08-31,3.1266,3.1266,0.0000
2019-09-30,3.1016,3.1016,0.0000
