fecha,directos_miles_millones,morosidad,car,morosidad_var_12m_pp
2015-01-31,195.6092,2.5774,3.5706,
2015-02-28,196.7885,2.5802,3.6013,
2015-03-31,203.1799,2.5442,3.5817,
2015-04-30,206.9416,2.5963,3.6236,
2015-05-31,209.7938,2.6661,3.7002,
2015-06-30,211.0661,2.6860,3.6806,
2015-07-31,212.8961,2.7266,3.7165,
2015-08-31,217.3151,2.6950,3.6955,
2015-09-30,219.9824,2.5805,3.5963,
2015-10-31,221.7602,2.6516,3.6826,
2015-11-30,226.0655,2.6177,3.6572,
2015-12-31,226.5889,2.5391,3.5975,
2016-01-31,228.5184,2.6429,3.7071,0.0655
2016-02-29,229.7529,2.7099,3.7702,0.1297
2016-03-31,227.4582,2.7017,3.7591,0.1575
2016-04-30,227.9837,2.7655,3.8259,0.1693
2016-05-31,229.2313,2.8623,3.9603,0.1963
2016-06-30,228.6528,2.8655,3.9985,0.1796
2016-07-31,231.9589,2.8452,3.9790,0.1186
2016-08-31,232.8164,2.9130,4.0766,0.2180
2016-09-30,233.5300,2.8563,4.0493,0.2758
2016-10-31,232.4593,2.9479,4.1511,0.2962
2016-11-30,235.1093,2.9634,4.1562,0.3457
2016-12-31,235.3714,2.7963,4.0234,0.2572
2017-01-31,232.6400,2.9564,4.1726,0.3136
2017-02-28,232.6017,2.9834,4.1983,0.2735
2017-03-31,232.9738,3.0055,4.2664,0.3038
2017-04-30,233.6370,3.0589,4.3107,0.2933
2017-05-31,234.6609,3.1466,4.4209,0.2842
2017-06-30,233.7426,3.0891,4.3997,0.2235
2017-07-31,235.7285,3.1153,4.3998,0.2701
2017-08-31,236.3514,3.1119,4.4438,0.1988
2017-09-30,238.6115,3.0805,4.4361,0.2242
2017-10-31,240.2117,3.1383,4.4818,0.1905
2017-11-30,243.4201,3.1211,4.4572,0.1577
2017-12-31,245.5516,3.0403,4.3918,0.2440
2018-01-31,244.6134,3.1248,4.5060,0.1683
2018-02-28,246.5078,3.2410,4.6240,0.2576
2018-03-31,248.4607,3.0701,4.4647,0.0646
2018-04-30,251.7281,3.1084,4.4722,0.0496
2018-05-31,254.9892,3.1391,4.4999,-0.0075
2018-06-30,256.3403,3.1042,4.5081,0.0151
2018-07-31,257.1173,3.1834,4.5504,0.0681
2018-08-31,258.5177,3.2258,4.6451,0.1139
2018-09-30,261.3292,3.0694,4.5152,-0.0111
2018-10-31,264.9328,3.0974,4.5372,-0.0409
2018-11-30,267.0165,3.0741,4.5405,-0.0470
2018-12-31,270.6624,2.9508,4.4416,-0.0896
2019-01-31,267.3300,3.0395,4.5065,-0.0852
2019-02-28,265.6417,3.0474,4.5423,-0.1936
2019-03-31,269.5036,2.9917,4.4759,-0.0783
2019-04-30,270.7514,3.0504,4.5209,-0.0580
2019-05-31,274.3231,3.1069,4.5832,-0.0322
2019-06-30,273.9921,3.0836,4.5514,-0.0206
2019-07-31,275.3981,3.1251,4.5922,-0.0583
2019-08-31,279.5929,3.1266,4.5676,-0.0992
2019-09-30,280.3122,3.1016,4.5639,0.0322
2019-10-31,283.2762,3.0816,4.5152,-0.0158
2019-11-30,287.0371,3.0488,4.4999,-0.0253
2019-12-31,286.0857,3.0190,4.4566,0.0682
2020-01-31,286.6511,3.0933,4.5446,0.0538
2020-02-29,289.8143,3.0908,4.5252,0.0434
2020-03-31,295.3907,3.1494,4.5659,0.1576
2020-04-30,296.4601,3.3848,4.7554,0.3344
2020-05-31,317.8205,3.0770,4.3867,-0.0299
2020-06-30,320.7403,3.1484,4.5146,0.0648
2020-07-31,324.2715,3.0227,4.4379,-0.1024
2020-08-31,327.0179,3.1043,4.5861,-0.0223
2020-09-30,326.5146,3.2901,4.8648,0.1885
2020-10-31,327.5953,3.5166,5.1716,0.4351
2020-11-30,327.1411,3.6988,5.4041,0.6500
2020-12-31,326.0218,3.7994,5.5210,0.7803
2021-01-31,324.4851,3.8369,5.5992,0.7436
2021-02-28,323.0928,3.8433,5.6573,0.7526
2021-03-31,325.7245,3.7534,5.6518,0.6040
2021-04-30,329.3834,3.6268,5.5474,0.2420
2021-05-31,336.3186,3.5680,5.4629,0.4909
2021-06-30,339.7692,3.6030,5.5061,0.4547
2021-07-31,346.4411,3.6628,5.5858,0.6401
2021-08-31,346.5003,3.7004,5.6251,0.5961
2021-09-30,346.0401,3.7331,5.6855,0.4430
2021-10-31,344.4249,3.8418,5.7738,0.3252
2021-11-30,348.1550,3.8421,5.7815,0.1434
2021-12-31,350.0286,3.7694,5.6493,-0.0300
2022-01-31,346.0631,3.8787,5.7102,0.0418
2022-02-28,345.7276,3.8309,5.6350,-0.0125
2022-03-31,348.8239,3.8052,5.5532,0.0518
2022-04-30,353.6597,3.7646,5.4953,0.1378
2022-05-31,353.0347,3.8028,5.4758,0.2349
2022-06-30,359.3405,3.8267,5.4948,0.2237
2022-07-31,364.7539,3.8283,5.4573,0.1655
2022-08-31,360.5781,3.9326,5.5978,0.2322
2022-09-30,361.8762,3.9673,5.6708,0.2342
2022-10-31,362.0027,4.0316,5.7198,0.1898
2022-11-30,358.8799,4.0048,5.6871,0.1627
2022-12-31,356.5845,3.9460,5.7276,0.1766
2023-01-31,354.9760,4.0126,5.7951,0.1339
2023-02-28,351.9137,4.0145,5.8157,0.1836
2023-03-31,353.3416,3.9570,5.7396,0.1518
2023-04-30,353.6575,4.0123,5.7491,0.2477
2023-05-31,352.2067,4.0459,5.8086,0.2431
2023-06-30,349.6805,4.0665,5.8767,0.2398
