,desde,hasta,tipo_credito,morosidad_desde,morosidad_hasta,participacion_desde,participacion_hasta,efecto_tasa_pp,efecto_mezcla_pp,aporte_total_pp
0,2015-01,2019-12,consumo,3.4586,2.9983,17.1036,19.6135,-0.0845,0.0810,-0.0035
1,2015-01,2019-12,corporativo,0.0021,0.0181,21.9142,25.1780,0.0038,0.0003,0.0041
2,2015-01,2019-12,grandes_empresas,0.8282,1.3437,18.6676,16.2382,0.0900,-0.0264,0.0636
3,2015-01,2019-12,hipotecario,1.4444,2.9581,17.0083,17.2129,0.2590,0.0045,0.2635
4,2015-01,2019-12,medianas_empresas,5.2124,8.0409,18.2306,14.8242,0.4675,-0.2257,0.2417
5,2015-01,2019-12,microempresas,4.1221,3.4074,0.7439,1.2867,-0.0073,0.0204,0.0132
6,2015-01,2019-12,pequenas_empresas,9.5419,8.2029,6.3317,5.6465,-0.0802,-0.0608,-0.1410
7,2019-12,2021-12,consumo,2.9983,2.4800,19.6135,15.8821,-0.0920,-0.1022,-0.1942
8,2019-12,2021-12,corporativo,0.0181,0.6458,25.1780,23.7951,0.1537,-0.0046,0.1491
9,2019-12,2021-12,grandes_empresas,1.3437,1.4311,16.2382,17.4033,0.0147,0.0162,0.0309
10,2019-12,2021-12,hipotecario,2.9581,3.0655,17.2129,16.0232,0.0178,-0.0358,-0.0180
11,2019-12,2021-12,medianas_empresas,8.0409,9.4726,14.8242,19.5195,0.2458,0.4112,0.6570
12,2019-12,2021-12,microempresas,3.4074,4.3979,1.2867,1.2611,0.0126,-0.0010,0.0116
13,2019-12,2021-12,pequenas_empresas,8.2029,9.4372,5.6465,6.1156,0.0726,0.0414,0.1140
14,2021-12,2024-05,consumo,2.4800,4.2332,15.8821,20.7188,0.3208,0.1623,0.4832
15,2021-12,2024-05,corporativo,0.6458,0.5490,23.7951,24.6153,-0.0234,0.0049,-0.0185
16,2021-12,2024-05,grandes_empresas,1.4311,2.2227,17.4033,14.8644,0.1277,-0.0464,0.0813
17,2021-12,2024-05,hipotecario,3.0655,2.9452,16.0232,18.4150,-0.0207,0.0719,0.0512
18,2021-12,2024-05,medianas_empresas,9.4726,13.5593,19.5195,14.2095,0.6892,-0.6115,0.0777
19,2021-12,2024-05,microempresas,4.3979,4.3870,1.2611,0.9581,-0.0001,-0.0133,-0.0134
20,2021-12,2024-05,pequenas_empresas,9.4372,10.2714,6.1156,6.2190,0.0514,0.0102,0.0616
21,2024-05,2024-09,consumo,4.2332,3.6118,20.7188,20.0386,-0.1266,-0.0267,-0.1533
22,2024-05,2024-09,corporativo,0.5490,0.3093,24.6153,24.7462,-0.0592,0.0006,-0.0586
23,2024-05,2024-09,grandes_empresas,2.2227,2.0231,14.8644,15.2931,-0.0301,0.0091,-0.0210
24,2024-05,2024-09,hipotecario,2.9452,2.8607,18.4150,18.8604,-0.0157,0.0129,-0.0028
25,2024-05,2024-09,medianas_empresas,13.5593,13.3691,14.2095,14.0793,-0.0269,-0.0175,-0.0444
26,2024-05,2024-09,microempresas,4.3870,3.5814,0.9581,0.9881,-0.0078,0.0012,-0.0066
27,2024-05,2024-09,pequenas_empresas,10.2714,9.8220,6.2190,5.9942,-0.0274,-0.0226,-0.0500
28,2024-09,2024-10,consumo,3.6118,3.5296,20.0386,20.4988,-0.0167,0.0164,-0.0002
29,2024-09,2024-10,corporativo,0.3093,0.2840,24.7462,30.3758,-0.0070,0.0167,0.0097
30,2024-09,2024-10,grandes_empresas,2.0231,2.7558,15.2931,10.7640,0.0955,-0.1082,-0.0128
31,2024-09,2024-10,hipotecario,2.8607,2.8667,18.8604,19.0098,0.0011,0.0043,0.0054
32,2024-09,2024-10,medianas_empresas,13.3691,16.6382,14.0793,4.6814,0.3066,-1.4100,-1.1034
33,2024-09,2024-10,microempresas,3.5814,3.6386,0.9881,0.9438,0.0006,-0.0016,-0.0010
34,2024-09,2024-10,pequenas_empresas,9.8220,11.6994,5.9942,13.7264,0.1851,0.8320,1.0171
35,2024-10,2026-07,consumo,3.5296,2.4913,20.4988,22.1344,-0.2213,0.0492,-0.1721
36,2024-10,2026-07,corporativo,0.2840,0.1170,30.3758,29.5282,-0.0500,-0.0017,-0.0517
37,2024-10,2026-07,grandes_empresas,2.7558,1.9030,10.7640,9.7737,-0.0876,-0.0231,-0.1106
38,2024-10,2026-07,hipotecario,2.8667,2.3998,19.0098,18.8247,-0.0883,-0.0049,-0.0932
39,2024-10,2026-07,medianas_empresas,16.6382,6.8419,4.6814,4.8886,-0.4688,0.0243,-0.4444
40,2024-10,2026-07,microempresas,3.6386,5.1231,0.9438,1.0982,0.0152,0.0068,0.0219
41,2024-10,2026-07,pequenas_empresas,11.6994,8.9936,13.7264,13.7522,-0.3717,0.0027,-0.3691
