entidad_id,tipo_credito,directos,participacion_tipo,morosidad,morosidad_sistema,brecha_pp,aporte_atrasados_pct
ALFIN,consumo,800977.9590,0.9140,3.1504,2.4913,0.6591,1.1558
ALFIN,corporativo,145243.8870,0.1242,0.0000,0.1170,-0.1170,0.0000
ALFIN,grandes_empresas,102182.9120,0.2641,1.0738,1.9030,-0.8292,0.1490
ALFIN,medianas_empresas,48792.7550,0.2521,5.9211,6.8419,-0.9208,0.2182
ALFIN,microempresas,16.9740,0.0004,50.3005,5.1231,45.1774,0.0038
ALFIN,pequenas_empresas,6406.5800,0.0118,4.9764,8.9936,-4.0173,0.0065
BANCOM,consumo,1438845.3687,1.6418,3.6672,2.4913,1.1759,2.4167
BANCOM,corporativo,86315.7970,0.0738,0.0002,0.1170,-0.1168,0.0001
BANCOM,grandes_empresas,106728.0320,0.2758,4.4650,1.9030,2.5620,0.6471
BANCOM,hipotecario,101410.4250,0.1361,7.1510,2.3998,4.7511,0.4054
BANCOM,medianas_empresas,43731.3410,0.2259,18.3433,6.8419,11.5014,0.6057
BANCOM,microempresas,79.9010,0.0018,3.4493,5.1231,-1.6738,0.0012
BANCOM,pequenas_empresas,62706.1640,0.1152,13.7833,8.9936,4.7896,0.1765
BANK_OF_CHINA,corporativo,357308.4800,0.3056,0.0000,0.1170,-0.1170,0.0000
BBVA,consumo,16810888.9908,19.1820,2.5848,2.4913,0.0935,19.9016
BBVA,corporativo,21969831.4840,18.7914,0.1678,0.1170,0.0507,26.9391
BBVA,grandes_empresas,12018627.1680,31.0574,2.7073,1.9030,0.8043,44.1838
BBVA,hipotecario,19300942.7040,25.8953,1.6017,2.3998,-0.7982,17.2828
BBVA,medianas_empresas,5712683.0910,29.5137,5.8344,6.8419,-1.0075,25.1679
BBVA,microempresas,32630.4630,0.7504,7.1366,5.1231,2.0135,1.0454
BBVA,pequenas_empresas,9694606.8400,17.8043,9.8665,8.9936,0.8729,19.5323
BCI,corporativo,2383255.2620,2.0385,0.0000,0.1170,-0.1170,0.0000
BCI,grandes_empresas,122218.7140,0.3158,0.0000,1.9030,-1.9030,0.0000
BCP,consumo,24345920.1757,27.7797,2.2906,2.4913,-0.2007,25.5421
BCP,corporativo,44993952.6440,38.4845,0.1632,0.1170,0.0462,53.6612
BCP,grandes_empresas,12896288.3130,33.3253,0.7055,1.9030,-1.1975,12.3550
BCP,hipotecario,25161298.9780,33.7579,2.1965,2.3998,-0.2033,30.8975
BCP,medianas_empresas,7162292.8290,37.0029,1.9800,6.8419,-4.8619,10.7086
BCP,microempresas,299567.9630,6.8895,6.5020,5.1231,1.3789,8.7438
