fecha,morosidad,castigos_12m_miles_millones,morosidad_ajustada,brecha_pp
2015-01-31,2.5774,,,
2015-02-28,2.5802,,,
2015-03-31,2.5442,,,
2015-04-30,2.5963,,,
2015-05-31,2.6661,,,
2015-06-30,2.6860,,,
2015-07-31,2.7266,,,
2015-08-31,2.6950,,,
2015-09-30,2.5805,,,
2015-10-31,2.6516,,,
2015-11-30,2.6177,,,
2015-12-31,2.5391,,,
2016-01-31,2.6429,,,
2016-02-29,2.7099,,,
2016-03-31,2.7017,,,
2016-04-30,2.7655,,,
2016-05-31,2.8623,,,
2016-06-30,2.8655,,,
2016-07-31,2.8452,,,
2016-08-31,2.9130,,,
2016-09-30,2.8563,,,
2016-10-31,2.9479,,,
2016-11-30,2.9634,,,
2016-12-31,2.7963,3.8757,4.3710,1.5746
2017-01-31,2.9564,3.9320,4.5694,1.6130
2017-02-28,2.9834,3.8752,4.5732,1.5898
2017-03-31,3.0055,3.8764,4.5929,1.5875
2017-04-30,3.0589,3.8593,4.6341,1.5753
2017-05-31,3.1466,3.8293,4.7017,1.5551
2017-06-30,3.0891,3.8268,4.6501,1.5611
2017-07-31,3.1153,3.8543,4.6740,1.5586
2017-08-31,3.1119,3.8245,4.6547,1.5428
2017-09-30,3.0805,3.8322,4.6125,1.5320
2017-10-31,3.1383,3.8521,4.6671,1.5288
2017-11-30,3.1211,3.8703,4.6373,1.5162
2017-12-31,3.0403,3.8755,4.5469,1.5065
2018-01-31,3.1248,3.8664,4.6321,1.5074
2018-02-28,3.2410,3.8794,4.7401,1.4991
2018-03-31,3.0701,3.9269,4.5782,1.5081
2018-04-30,3.1084,3.8861,4.5815,1.4730
2018-05-31,3.1391,3.8923,4.5955,1.4563
2018-06-30,3.1042,3.8459,4.5365,1.4323
2018-07-31,3.1834,3.8418,4.6088,1.4253
2018-08-31,3.2258,3.8466,4.6446,1.4188
2018-09-30,3.0694,3.9757,4.5220,1.4526
2018-10-31,3.0974,4.0185,4.5452,1.4478
2018-11-30,3.0741,4.0406,4.5189,1.4449
2018-12-31,2.9508,4.1177,4.4051,1.4543
2019-01-31,3.0395,4.1600,4.5252,1.4857
2019-02-28,3.0474,4.2455,4.5725,1.5251
2019-03-31,2.9917,4.2444,4.4959,1.5041
2019-04-30,3.0504,4.2955,4.5645,1.5141
2019-05-31,3.1069,4.3405,4.6161,1.5092
2019-06-30,3.0836,4.3381,4.5941,1.5105
2019-07-31,3.1251,4.3707,4.6385,1.5134
2019-08-31,3.1266,4.4138,4.6321,1.5055
2019-09-30,3.1016,4.3111,4.5693,1.4677
2019-10-31,3.0816,4.3363,4.5428,1.4612
2019-11-30,3.0488,4.4171,4.5181,1.4693
2019-12-31,3.0190,4.4269,4.4968,1.4778
2020-01-31,3.0933,4.4638,4.5793,1.4859
2020-02-29,3.0908,4.5479,4.5880,1.4973
2020-03-31,3.1494,4.4966,4.6016,1.4522
2020-04-30,3.3848,4.2754,4.7584,1.3735
2020-05-31,3.0770,4.0447,4.2950,1.2180
2020-06-30,3.1484,3.7724,4.2742,1.1259
2020-07-31,3.0227,3.4755,4.0511,1.0284
2020-08-31,3.1043,3.2598,4.0606,0.9563
2020-09-30,3.2901,3.0442,4.1835,0.8933
2020-10-31,3.5166,3.0452,4.4052,0.8886
2020-11-30,3.6988,3.1673,4.6222,0.9234
2020-12-31,3.7994,3.4672,4.8117,1.0123
2021-01-31,3.8369,4.0282,5.0160,1.1791
2021-02-28,3.8433,4.1858,5.0732,1.2298
2021-03-31,3.7534,4.7332,5.1319,1.3786
2021-04-30,3.6268,5.4543,5.1967,1.5699
2021-05-31,3.5680,5.9365,5.2406,1.6726
2021-06-30,3.6030,6.2898,5.3551,1.7521
2021-07-31,3.6628,6.8676,5.5354,1.8726
2021-08-31,3.7004,7.2187,5.6657,1.9653
2021-09-30,3.7331,7.5198,5.7806,2.0475
2021-10-31,3.8418,7.5502,5.9045,2.0627
2021-11-30,3.8421,7.5670,5.8876,2.0455
2021-12-31,3.7694,7.1968,5.7081,1.9387
2022-01-31,3.8787,6.5802,5.6723,1.7936
2022-02-28,3.8309,6.2535,5.5394,1.7086
2022-03-31,3.8052,5.7434,5.3634,1.5582
2022-04-30,3.7646,5.2562,5.1739,1.4093
2022-05-31,3.8028,4.9442,5.1315,1.3286
2022-06-30,3.8267,4.8922,5.1184,1.2918
2022-07-31,3.8283,4.8930,5.1014,1.2730
2022-08-31,3.9326,4.9087,5.2228,1.2903
2022-09-30,3.9673,4.9666,5.2675,1.3002
2022-10-31,4.0316,5.0896,5.3622,1.3306
2022-11-30,4.0048,5.1083,5.3520,1.3472
2022-12-31,3.9460,5.3118,5.3559,1.4099
2023-01-31,4.0126,5.4797,5.4718,1.4592
2023-02-28,4.0145,5.7410,5.5553,1.5407
2023-03-31,3.9570,5.9745,5.5540,1.5969
